transaction_id,customer_id,merchant_id,transaction_timestamp,amount_inr,currency,payment_channel,merchant_category,location,device_type,failed_attempts,risk_level,transaction_status,is_international,account_age_days,device_trust_score,is_fraud
TXN000018,CUST01229,MER0235,2026-08-19 05:35:00,4184.45,INR,UPI,Shopping,Ahmedabad,Tablet,0,Low,Approved,0,2307,41,0
TXN000019,CUST00647,MER0225,2026-08-09 06:52:00,1651.04,INR,UPI,Healthcare,Chennai,Tablet,0,High,Approved,1,425,9,0
TXN000020,CUST01082,MER0259,2026-12-22 17:42:00,1009.73,INR,Net Banking,Education,Hyderabad,Mobile,0,High,Approved,0,2599,92,0
TXN000021,CUST00459,MER0039,2026-04-19 12:54:00,10823.2,INR,UPI,Education,Pune,Tablet,0,Low,Approved,0,2264,71,0
TXN000022,CUST01023,MER0342,2026-03-16 20:26:00,1660.13,INR,Net Banking,Education,Kolkata,Tablet,3,Low,Approved,0,3070,6,0
TXN000023,CUST00443,MER0196,2026-01-29 04:45:00,6103.07,INR,Wallet,Travel,Delhi,Laptop,4,Low,Approved,0,1433,95,0
TXN000024,CUST01144,MER0180,2026-10-19 00:53:00,6358.66,INR,Net Banking,Shopping,Bengaluru,Laptop,0,Low,Approved,0,732,43,0
TXN000025,CUST00779,MER0131,2026-02-02 07:42:00,4515.26,INR,Wallet,Shopping,Delhi,Laptop,2,Low,Declined,0,1767,66,0
TXN000026,CUST01673,MER0168,2026-10-21 00:27:00,5205.94,INR,Net Banking,Utilities,Mumbai,Mobile,0,Low,Approved,0,1723,93,0
TXN000027,CUST01176,MER0108,2026-11-10 00:50:00,1808.59,INR,Net Banking,Electronics,Ahmedabad,Laptop,0,Medium,Approved,0,2768,52,0
TXN000028,CUST01373,MER0048,2026-06-21 00:37:00,2451.19,INR,Net Banking,Travel,Delhi,Mobile,2,Low,Approved,0,101,11,0
TXN000029,CUST01000,MER0076,2026-01-05 00:54:00,7472.0,INR,UPI,Education,Kolkata,Mobile,3,Low,Approved,0,721,92,0
TXN000030,CUST02176,MER0287,2026-08-20 01:11:00,6207.6,INR,Wallet,Utilities,Kolkata,Tablet,1,Medium,Approved,0,1827,16,0
TXN000031,CUST01985,MER0321,2026-06-24 05:07:00,7160.53,INR,Net Banking,Electronics,Bengaluru,Tablet,0,Medium,Approved,0,1171,82,0
TXN000032,CUST00264,MER0213,2026-10-24 19:18:00,388.53,INR,Net Banking,Utilities,Ahmedabad,Laptop,0,Low,Approved,0,256,50,0
TXN000033,CUST01441,MER0153,2026-10-11 23:30:00,1070.98,INR,Wallet,Utilities,Delhi,Laptop,1,Low,Approved,0,899,98,0
TXN000034,CUST00523,MER0319,2026-01-20 15:16:00,3518.33,INR,Wallet,Utilities,Hyderabad,Mobile,1,Low,Approved,0,2633,93,0
TXN000035,CUST01553,MER0143,2026-11-03 23:22:00,7000.57,INR,Net Banking,Education,Bengaluru,Laptop,0,Low,Approved,0,80,59,0
TXN000036,CUST00084,MER0319,2026-04-21 23:04:00,2364.29,INR,Card,Travel,Ahmedabad,Tablet,4,Medium,Approved,0,469,4,0
TXN000037,CUST00671,MER0160,2026-03-20 17:09:00,926.64,INR,UPI,Food,Kolkata,Laptop,1,Low,Approved,0,2929,78,0
TXN000038,CUST00496,MER0290,2026-01-30 21:44:00,8043.72,INR,Net Banking,Utilities,Kolkata,Tablet,0,Low,Approved,0,1518,39,0
TXN000039,CUST02138,MER0334,2026-07-16 16:01:00,2896.74,INR,Wallet,Electronics,Kolkata,Tablet,0,Low,Approved,0,2427,59,0
TXN000040,CUST01998,MER0109,2026-09-16 09:00:00,1812.12,INR,Net Banking,Food,Chennai,Tablet,1,Low,Approved,0,2873,4,0
TXN000041,CUST01951,MER0331,2026-12-24 09:43:00,4308.33,INR,Wallet,Education,Hyderabad,Mobile,0,Medium,Approved,0,1206,53,0
TXN000042,CUST02255,MER0170,2026-09-14 04:20:00,5448.49,INR,Wallet,Food,Chennai,Laptop,1,Low,Pending,0,945,68,0
TXN000043,CUST01133,MER0302,2026-07-26 01:45:00,2188.25,INR,UPI,Education,Delhi,Laptop,0,Low,Approved,0,932,24,0
TXN000044,CUST00518,MER0327,2026-12-24 10:43:00,1356.27,INR,UPI,Education,Hyderabad,Tablet,0,Low,Approved,0,1165,7,0
TXN000045,CUST02015,MER0038,2026-02-09 00:53:00,3273.35,INR,Card,Travel,Chennai,Mobile,0,Low,Approved,1,1017,62,0
TXN000046,CUST01218,MER0302,2026-11-09 06:20:00,9696.28,INR,Net Banking,Utilities,Hyderabad,Tablet,2,Low,Declined,0,3032,67,0
TXN000047,CUST00011,MER0210,2026-11-25 01:07:00,10128.07,INR,Wallet,Food,Hyderabad,Mobile,0,Low,Approved,0,1181,31,0
TXN000048,CUST00811,MER0218,2026-03-25 13:51:00,6261.33,INR,Card,Healthcare,Mumbai,Laptop,1,Medium,Approved,1,3386,81,0
TXN000049,CUST01116,MER0257,2026-12-26 13:41:00,8010.73,INR,Wallet,Shopping,Hyderabad,Laptop,3,Low,Approved,0,3009,60,0
TXN000050,CUST01104,MER0296,2026-01-30 07:05:00,2439.14,INR,Card,Electronics,Ahmedabad,Laptop,4,Low,Approved,0,744,74,0
TXN000051,CUST00659,MER0169,2026-10-27 18:01:00,2201.05,INR,Wallet,Food,Kolkata,Tablet,4,High,Approved,0,151,53,0
TXN000052,CUST02223,MER0237,2026-10-28 22:01:00,2441.39,INR,UPI,Travel,Pune,Tablet,5,Low,Approved,0,3099,66,0
TXN000053,CUST00498,MER0015,2026-06-24 06:01:00,3330.52,INR,Card,Food,Hyderabad,Tablet,0,Low,Approved,0,1672,37,0
TXN009622,CUST01702,MER0248,2026-12-10 20:38:00,3416.26,INR,Card,Electronics,Mumbai,Laptop,2,Low,Approved,0,781,92,0
TXN000055,CUST01095,MER0002,2026-07-25 22:58:00,4022.19,INR,Net Banking,Education,Ahmedabad,Mobile,2,High,Approved,0,1830,54,0
TXN000056,CUST00979,MER0293,2026-10-06 20:54:00,2199.5,INR,Card,Education,Kolkata,Mobile,0,Low,Pending,0,1304,42,0
TXN000057,CUST00152,MER0065,2026-08-30 18:01:00,17797.89,INR,UPI,Education,Ahmedabad,Mobile,0,Medium,Approved,0,2155,84,0
TXN000058,CUST01557,MER0163,2026-12-22 07:30:00,1466.31,INR,UPI,Utilities,Bengaluru,Mobile,0,High,Approved,0,2586,43,0
TXN000059,CUST01818,MER0086,2026-08-07 01:32:00,2437.32,INR,UPI,Shopping,Pune,Mobile,0,Medium,Declined,1,1202,98,0
TXN000060,CUST01567,MER0318,2026-06-25 08:48:00,3185.2,INR,Wallet,Utilities,Mumbai,Mobile,0,Low,Approved,0,1889,24,0
TXN000061,CUST01810,MER0177,2026-08-06 20:05:00,3050.45,INR,Wallet,Healthcare,Chennai,Laptop,3,Medium,Approved,0,3463,37,0
TXN000062,CUST01622,MER0141,2026-01-06 21:31:00,1440.63,INR,UPI,Utilities,Ahmedabad,Laptop,0,Low,Pending,0,3178,90,0
TXN000063,CUST00561,MER0322,2026-03-12 18:03:00,4633.41,INR,UPI,Food,Ahmedabad,Mobile,1,Medium,Approved,0,2374,87,0
TXN000064,CUST00674,MER0132,2026-12-17 20:54:00,2363.03,INR,Net Banking,Healthcare,Pune,Mobile,0,Low,Declined,0,1919,47,0
TXN000065,CUST02198,MER0064,2026-11-28 03:57:00,24446.35,INR,Net Banking,Healthcare,Chennai,Tablet,5,High,Approved,1,1561,72,1
TXN000066,CUST01238,MER0333,2026-10-25 07:29:00,13062.15,INR,UPI,Travel,Hyderabad,Mobile,3,Medium,Approved,0,1247,9,0
TXN000067,CUST02213,MER0215,2026-04-23 12:29:00,1751.91,INR,Wallet,Healthcare,Bengaluru,Laptop,0,High,Approved,0,2522,48,0
TXN000068,CUST01470,MER0032,2026-10-17 21:59:00,2593.65,INR,Net Banking,Travel,Bengaluru,Laptop,4,Low,Approved,0,376,13,0
TXN000069,CUST00841,MER0036,2026-05-31 20:20:00,6080.99,INR,Card,Education,Delhi,Laptop,0,Medium,Approved,0,3172,32,0
TXN000070,CUST00540,MER0008,2026-09-18 20:44:00,6707.87,INR,Card,Utilities,Pune,Mobile,0,Low,Declined,0,714,23,0
TXN000071,CUST00447,MER0232,2026-06-11 07:51:00,1422.35,INR,UPI,Healthcare,Chennai,Laptop,0,Low,Approved,0,2636,58,0
TXN000072,CUST00331,MER0165,2026-04-19 00:19:00,1065.14,INR,UPI,Travel,Chennai,Tablet,0,High,Approved,0,2594,63,0
TXN000073,CUST00469,MER0336,2026-06-06 13:48:00,6001.1,INR,Wallet,Electronics,Delhi,Laptop,1,Low,Approved,0,1389,65,0
TXN000074,CUST01943,MER0035,2026-03-08 10:16:00,2108.75,INR,UPI,Shopping,Kolkata,Unknown,0,Medium,Approved,0,3050,33,0
TXN000075,CUST01733,MER0027,2026-07-29 10:41:00,10145.42,INR,Net Banking,Food,Bengaluru,Tablet,1,Medium,Approved,0,2079,43,0
TXN000076,CUST00927,MER0220,2026-01-20 02:49:00,4888.4,INR,Net Banking,Shopping,Mumbai,Laptop,0,Low,Approved,0,2879,48,0
TXN000077,CUST00126,MER0047,2026-06-06 15:43:00,9387.75,INR,Wallet,Electronics,Ahmedabad,Laptop,0,Medium,Approved,0,645,85,0
TXN000078,CUST00204,MER0346,2026-03-01 09:44:00,15490.01,INR,Net Banking,Electronics,Kolkata,Laptop,1,Low,Approved,0,2487,7,0
TXN000079,CUST02159,MER0342,2026-08-13 14:01:00,944.11,INR,UPI,Travel,Kolkata,Tablet,0,Low,Approved,0,225,37,0
TXN000080,CUST01764,MER0090,2026-04-05 01:41:00,2522.19,INR,Wallet,Utilities,Delhi,Tablet,0,Low,Approved,0,2289,42,0
TXN000081,CUST01331,MER0088,2026-12-02 00:46:00,12640.27,INR,Net Banking,Shopping,Kolkata,Mobile,1,Medium,Approved,0,997,54,0
TXN000082,CUST02091,MER0325,2026-03-25 00:45:00,3110.21,INR,Card,Education,Pune,Laptop,3,Low,Approved,0,2980,29,0
TXN000083,CUST00309,MER0091,2026-12-26 19:19:00,4669.63,INR,Wallet,Education,Ahmedabad,Tablet,0,High,Approved,0,3613,23,0
TXN000084,CUST01241,MER0141,2026-02-10 21:40:00,6157.59,INR,Net Banking,Utilities,Bengaluru,Laptop,2,Low,Approved,0,1892,20,0
TXN000085,CUST00169,MER0231,2026-05-18 01:43:00,13984.62,INR,Net Banking,Utilities,Ahmedabad,Tablet,0,Low,Approved,0,618,71,0
TXN000086,CUST01015,MER0225,2026-11-16 23:27:00,2485.77,INR,Card,Food,Pune,Laptop,2,High,Approved,1,1587,11,0
TXN000087,CUST01584,MER0146,2026-07-03 11:56:00,2026.1,INR,Card,Food,Bengaluru,Tablet,2,Low,Approved,0,2719,9,0
TXN000088,CUST01346,MER0066,2026-03-10 01:12:00,5860.51,INR,Wallet,Utilities,Pune,Mobile,1,Low,Approved,1,1486,40,0
TXN000089,CUST00415,MER0260,2026-01-28 11:41:00,9891.52,INR,Net Banking,Education,Mumbai,Tablet,1,Low,Approved,0,1544,18,0
TXN000090,CUST00973,MER0228,2026-07-27 11:28:00,800.18,INR,Wallet,Travel,Delhi,Laptop,1,Low,Approved,0,3313,93,0
TXN000091,CUST01565,MER0258,2026-11-01 20:37:00,7561.89,INR,Card,Education,Delhi,Tablet,1,Medium,Approved,0,567,57,0
TXN000092,CUST01168,MER0043,2026-04-27 17:39:00,1035.65,INR,Net Banking,Electronics,Mumbai,Laptop,0,Medium,Approved,1,376,92,0
TXN000093,CUST01582,MER0042,2026-10-01 00:04:00,1739.81,INR,Card,Shopping,Pune,Mobile,0,High,Approved,0,3438,7,0
TXN000094,CUST01922,MER0230,2026-01-04 19:46:00,2748.32,INR,UPI,Shopping,Chennai,Mobile,0,Medium,Approved,0,3421,61,0
TXN000095,CUST01720,MER0328,2026-11-29 20:38:00,18793.74,INR,UPI,Shopping,Ahmedabad,Tablet,0,Low,Approved,0,2196,31,0
TXN000096,CUST00768,MER0341,2026-03-04 08:12:00,3750.25,INR,Net Banking,Shopping,Hyderabad,Laptop,0,Low,Approved,0,3578,79,0
TXN000097,CUST00547,MER0023,2026-09-14 12:52:00,6919.69,INR,Net Banking,Education,Mumbai,Tablet,1,Low,Approved,0,1904,99,0
TXN000098,CUST00172,MER0162,2026-08-14 18:58:00,3504.19,INR,Wallet,Education,Ahmedabad,Laptop,0,High,Declined,0,150,59,1
TXN000099,CUST01790,MER0205,2026-11-17 04:57:00,1807.16,INR,Wallet,Food,Mumbai,Laptop,2,Medium,Approved,0,2835,43,0
TXN000100,CUST00740,MER0280,2026-08-02 21:56:00,13188.19,INR,Net Banking,Shopping,Bengaluru,Laptop,2,Low,Pending,0,2708,11,0
TXN000101,CUST01445,MER0315,2026-11-13 17:08:00,2753.61,INR,Net Banking,Healthcare,Hyderabad,Mobile,0,Low,Declined,0,2750,58,0
TXN000102,CUST01795,MER0018,2026-04-02 22:01:00,1336.64,INR,UPI,Travel,Pune,Laptop,1,Medium,Approved,1,1569,19,0
TXN000103,CUST01142,MER0128,2026-03-24 14:39:00,3241.89,INR,UPI,Healthcare,Mumbai,Laptop,0,High,Approved,0,2121,18,0
TXN000104,CUST02012,MER0103,2026-03-31 07:14:00,4112.64,INR,Card,Education,Bengaluru,Laptop,0,Low,Declined,0,708,79,0
TXN000105,CUST02253,MER0278,2026-07-31 10:26:00,3335.1,INR,Net Banking,Education,Mumbai,Tablet,1,Medium,Approved,0,2907,41,0
TXN000106,CUST02024,MER0014,2026-09-20 19:07:00,9636.31,INR,Net Banking,Electronics,Mumbai,Tablet,0,High,Approved,0,3622,26,0
TXN000107,CUST00304,MER0231,2026-12-06 05:01:00,7135.89,INR,Net Banking,Travel,Mumbai,Mobile,1,Low,Approved,0,1773,10,0
TXN000108,CUST01164,MER0041,2026-07-02 11:38:00,3781.71,INR,Card,Healthcare,Chennai,Mobile,0,Low,Declined,1,2561,29,0
TXN000109,CUST02479,MER0173,2026-01-30 23:55:00,4016.4,INR,UPI,Shopping,Hyderabad,Tablet,0,Low,Approved,1,3159,20,0
TXN000110,CUST01238,MER0248,2026-06-28 07:33:00,9373.67,INR,Wallet,Food,Ahmedabad,Mobile,0,Low,Approved,0,2821,64,0
TXN000111,CUST01415,MER0205,2026-04-06 05:18:00,3069.42,INR,Net Banking,Utilities,Bengaluru,Laptop,0,Low,Approved,0,991,41,0
TXN000112,CUST00655,MER0168,2026-08-16 17:05:00,2319.61,INR,Card,Education,Mumbai,Laptop,0,Low,Approved,0,2109,50,0
TXN000113,CUST01446,MER0025,2026-02-06 19:15:00,10935.3,INR,Net Banking,Electronics,Ahmedabad,Laptop,0,Low,Approved,0,2199,59,0
TXN000114,CUST02267,MER0148,2026-02-23 13:03:00,2118.53,INR,Wallet,Utilities,Ahmedabad,Tablet,0,Low,Approved,0,1146,7,0
TXN000115,CUST01498,MER0074,2026-05-25 22:47:00,5779.27,INR,Wallet,Utilities,Hyderabad,Mobile,0,Medium,Approved,0,160,48,0
TXN000116,CUST01305,MER0084,2026-10-14 03:22:00,2292.44,INR,Net Banking,Utilities,Pune,Tablet,0,Low,Declined,0,3393,66,0
TXN000117,CUST02391,MER0158,2026-01-20 09:41:00,3519.68,INR,Wallet,Food,Delhi,Tablet,0,Low,Pending,0,211,43,0
TXN000118,CUST02346,MER0057,2026-05-19 22:11:00,997.12,INR,UPI,Electronics,Pune,Laptop,1,Low,Approved,0,621,19,0
TXN000119,CUST02125,MER0107,2026-08-25 16:39:00,1530.39,INR,Wallet,Utilities,Kolkata,Laptop,1,Low,Approved,0,710,95,0
TXN000120,CUST02499,MER0248,2026-05-21 00:03:00,4049.97,INR,Card,Food,Chennai,Mobile,1,Low,Approved,0,1220,88,0
TXN000121,CUST01121,MER0148,2026-03-30 17:54:00,9552.64,INR,Wallet,Electronics,Pune,Mobile,0,Medium,Approved,0,1190,72,0
TXN000122,CUST02404,MER0123,2026-06-26 13:15:00,5760.95,INR,UPI,Healthcare,Delhi,Tablet,2,Low,Approved,0,954,72,0
TXN000123,CUST00647,MER0209,2026-12-13 09:27:00,2327.86,INR,Wallet,Healthcare,Delhi,Laptop,0,Low,Pending,0,1316,1,0
TXN000124,CUST00721,MER0019,2026-10-17 01:58:00,4862.23,INR,Wallet,Travel,Chennai,Mobile,1,Low,Approved,0,38,5,0
TXN000125,CUST00550,MER0259,2026-12-07 19:15:00,29580.56,INR,Net Banking,Travel,Bengaluru,Laptop,0,Low,Approved,0,666,83,0
TXN000126,CUST00719,MER0313,2026-10-23 06:27:00,7851.04,INR,Wallet,Utilities,Pune,Mobile,0,Medium,Approved,0,1642,38,0
TXN000127,CUST01094,MER0169,2026-08-08 20:53:00,2132.69,INR,UPI,Food,Pune,Tablet,0,Medium,Approved,0,968,34,0
TXN000128,CUST01209,MER0189,2026-06-10 19:37:00,1630.92,INR,Card,Travel,Ahmedabad,Mobile,0,Low,Approved,0,1864,91,0
TXN000129,CUST01014,MER0349,2026-03-01 14:47:00,4740.75,INR,Wallet,Utilities,Pune,Mobile,0,Medium,Approved,0,2311,69,0
TXN000130,CUST02389,MER0251,2026-03-08 05:19:00,1426.02,INR,Wallet,Education,Hyderabad,Laptop,0,Low,Approved,0,541,57,0
TXN000131,CUST00013,MER0112,2026-02-23 04:17:00,3405.49,INR,UPI,Electronics,Pune,Tablet,0,Low,Approved,0,262,93,0
TXN000132,CUST01722,MER0192,2026-10-06 12:18:00,13943.46,INR,Wallet,Education,Kolkata,Laptop,0,Low,Pending,0,329,18,0
TXN000133,CUST00522,MER0115,2026-01-03 12:42:00,6076.01,INR,UPI,Food,Ahmedabad,Tablet,1,Medium,Approved,0,2946,23,0
TXN000134,CUST00463,MER0017,2026-11-02 06:45:00,4739.18,INR,UPI,Travel,Delhi,Mobile,0,Low,Declined,0,414,36,0
TXN000135,CUST00890,MER0029,2026-04-13 01:02:00,2869.45,INR,Net Banking,Travel,Pune,Tablet,3,Low,Approved,0,2450,6,0
TXN000136,CUST00250,MER0286,2026-05-08 12:40:00,6690.18,INR,Wallet,Utilities,Ahmedabad,Mobile,3,Medium,Approved,1,1411,67,0
TXN000137,CUST00988,MER0116,2026-08-07 23:44:00,11689.72,INR,Card,Education,Ahmedabad,Mobile,0,High,Approved,0,2304,20,1
TXN000138,CUST01520,MER0048,2026-05-19 16:54:00,2810.07,INR,UPI,Food,Kolkata,Tablet,0,Low,Declined,0,2478,43,0
TXN000139,CUST01364,MER0156,2026-01-12 03:58:00,7123.02,INR,Card,Travel,Bengaluru,Tablet,1,Low,Approved,0,3090,72,0
TXN000140,CUST01910,MER0274,2026-09-19 14:30:00,1409.77,INR,Net Banking,Food,Pune,Tablet,0,Low,Approved,0,3616,71,0
TXN000141,CUST00067,MER0134,2026-11-01 01:42:00,2758.41,INR,Net Banking,Travel,Delhi,Laptop,3,Low,Declined,0,943,53,1
TXN000142,CUST02010,MER0236,2026-05-03 12:05:00,9612.91,INR,Net Banking,Travel,Mumbai,Tablet,1,Low,Approved,0,2239,33,0
TXN000143,CUST00199,MER0004,2026-10-28 07:04:00,13735.48,INR,Card,Education,Delhi,Mobile,1,Low,Approved,0,2897,5,0
TXN000144,CUST00065,MER0004,2026-10-27 12:39:00,1713.02,INR,UPI,Shopping,Chennai,Tablet,0,Low,Approved,0,1175,79,0
TXN000145,CUST00988,MER0099,2026-07-03 19:19:00,14777.99,INR,Net Banking,Food,Kolkata,Mobile,2,Low,Approved,0,1529,14,0
TXN000146,CUST00130,MER0048,2026-10-23 02:45:00,3364.37,INR,Wallet,Electronics,Ahmedabad,Mobile,1,High,Approved,0,2609,11,0
TXN000147,CUST02164,MER0022,2026-06-17 07:27:00,1396.74,INR,Card,Education,Ahmedabad,Laptop,0,Low,Pending,0,191,73,0
TXN000148,CUST00849,MER0301,2026-04-15 23:55:00,5290.74,INR,Wallet,Shopping,Chennai,Mobile,0,High,Approved,0,2310,23,0
TXN000149,CUST00322,MER0257,2026-09-09 20:19:00,8093.97,INR,UPI,Shopping,Kolkata,Mobile,3,Low,Approved,0,3436,97,0
TXN000150,CUST02010,MER0117,2026-09-17 02:15:00,5416.25,INR,Wallet,Electronics,Mumbai,Tablet,1,Low,Pending,1,2400,42,1
TXN000151,CUST00632,MER0200,2026-08-19 14:21:00,746.9,INR,Net Banking,Shopping,Bengaluru,Mobile,2,Medium,Approved,0,1263,11,0
TXN000152,CUST00108,MER0046,2026-09-15 17:06:00,5566.33,INR,UPI,Utilities,Pune,Laptop,0,Low,Approved,0,51,72,0
TXN000153,CUST01560,MER0087,2026-04-12 02:24:00,3044.98,INR,Net Banking,Food,Chennai,Laptop,3,Low,Approved,0,598,32,0
TXN000154,CUST02031,MER0305,2026-05-23 09:27:00,3088.54,INR,Wallet,Shopping,Mumbai,Laptop,0,Low,Approved,0,28,33,0
TXN000155,CUST02435,MER0070,2026-08-07 18:29:00,1911.86,INR,Net Banking,Utilities,Delhi,Laptop,2,High,Approved,0,1287,43,0
TXN000156,CUST01149,MER0202,2026-09-23 19:06:00,2927.96,INR,UPI,Utilities,Delhi,Tablet,1,Low,Approved,0,2235,74,0
TXN000157,CUST01241,MER0124,2026-07-03 23:55:00,449.11,INR,Card,Healthcare,Kolkata,Laptop,2,Low,Approved,0,303,53,0
TXN000158,CUST01473,MER0275,2026-03-03 21:10:00,5124.78,INR,UPI,Education,Delhi,Tablet,0,Low,Approved,1,2723,89,0
TXN000159,CUST01764,MER0055,2026-01-08 16:20:00,4556.41,INR,UPI,Food,Delhi,Tablet,5,Low,Approved,0,3060,52,0
TXN000160,CUST00618,MER0177,2026-01-18 21:15:00,4800.21,INR,Wallet,Shopping,Chennai,Laptop,0,Low,Approved,0,352,99,0
TXN000161,CUST01854,MER0164,2026-02-18 21:57:00,2200.38,INR,Net Banking,Shopping,Bengaluru,Mobile,0,Low,Approved,0,3479,61,0
TXN000162,CUST00756,MER0096,2026-11-11 16:05:00,3835.47,INR,Wallet,Shopping,Delhi,Laptop,0,Low,Approved,0,2426,60,0
TXN000163,CUST01875,MER0059,2026-07-11 00:57:00,1222.85,INR,Wallet,Utilities,Pune,Tablet,2,Low,Approved,0,1592,69,0
TXN000164,CUST02418,MER0044,2026-04-08 12:54:00,4422.96,INR,Net Banking,Shopping,Delhi,Laptop,2,Low,Approved,0,480,87,0
TXN000165,CUST02202,MER0331,2026-05-07 03:29:00,6480.94,INR,Card,Electronics,Chennai,Mobile,0,Low,Approved,0,767,50,0
TXN000166,CUST02301,MER0259,2026-12-27 10:13:00,3376.19,INR,Wallet,Healthcare,Ahmedabad,Laptop,0,Low,Approved,0,2909,18,0
TXN000167,CUST01874,MER0290,2026-12-27 16:13:00,3576.13,INR,UPI,Utilities,Bengaluru,Laptop,0,Medium,Approved,0,3175,38,1
TXN000168,CUST01014,MER0153,2026-01-24 11:16:00,17330.37,INR,Wallet,Food,Pune,Mobile,0,Low,Approved,0,1799,55,0
TXN000169,CUST00571,MER0106,2026-05-31 16:35:00,726.08,INR,UPI,Utilities,Pune,Tablet,1,Medium,Approved,0,1152,79,0
TXN000170,CUST01686,MER0031,2026-07-21 22:34:00,1794.15,INR,Card,Healthcare,Mumbai,Mobile,4,Low,Approved,0,600,87,0
TXN000171,CUST01537,MER0232,2026-02-24 23:44:00,27122.76,INR,UPI,Electronics,Chennai,Tablet,1,Medium,Approved,0,3594,74,0
TXN000172,CUST01468,MER0033,2026-10-17 14:35:00,9662.34,INR,Card,Electronics,Delhi,Laptop,0,Low,Pending,0,1100,94,0
TXN000173,CUST00189,MER0051,2026-12-01 15:46:00,1813.32,INR,UPI,Shopping,Mumbai,Laptop,0,Low,Approved,0,1870,44,0
TXN000174,CUST00338,MER0191,2026-05-01 12:45:00,4998.0,INR,UPI,Electronics,Chennai,Tablet,1,Low,Approved,0,2865,36,0
TXN000175,CUST01823,MER0005,2026-01-06 20:54:00,3250.13,INR,Net Banking,Education,Bengaluru,Laptop,0,Medium,Approved,0,2843,10,0
TXN000176,CUST01568,MER0069,2026-04-15 00:32:00,1320.27,INR,UPI,Utilities,Hyderabad,Tablet,1,Low,Approved,0,2663,41,0
TXN000177,CUST00356,MER0052,2026-04-12 22:54:00,2763.5,INR,UPI,Utilities,Kolkata,Laptop,1,Low,Approved,0,1759,79,0
TXN000178,CUST00110,MER0338,2026-08-08 15:42:00,1760.96,INR,Card,Utilities,Delhi,Tablet,0,Low,Approved,0,1605,77,0
TXN000179,CUST00050,MER0185,2026-08-19 10:45:00,13528.88,INR,Card,Electronics,Kolkata,Laptop,0,Low,Declined,0,2238,77,0
TXN000180,CUST02053,MER0213,2026-11-05 10:30:00,1548.87,INR,Wallet,Shopping,Mumbai,Laptop,0,Medium,Approved,0,343,51,0
TXN000181,CUST00271,MER0159,2026-11-15 13:37:00,3717.06,INR,Card,Shopping,Delhi,Mobile,2,Low,Approved,0,1780,51,0
TXN000182,CUST00047,MER0084,2026-12-28 11:26:00,4329.84,INR,Net Banking,Utilities,Chennai,Mobile,1,Low,Approved,0,1524,23,0
